region,gps_height_l
arusha,1401.1441791044776
dar es salaam,31.121456945766624
dodoma,1120.0
iringa,1697.4420098224405
kagera,1240.0
kigoma,1235.5621448863637
kilimanjaro,1180.8915277460608
lindi,212.90194411022355
manyara,1426.0777005685406
mara,1341.625190452006
mbeya,1711.0
morogoro,410.29700202313586
mtwara,258.14501007181644
mwanza,278.9664651372577
pwani,83.06671274367699
rukwa,1404.4612831858408
ruvuma,903.7405303030303
shinyanga,128.4713822513451
singida,1416.8576206402292
tabora,1233.0
tanga,640.855653006787
